data,sessao_tipo,colegiado,colegiado_desc,sessao_id,sessao_numero,sessao_ano,sessao_data_inicio,sessao_data_fim,sessao_hora_inicio,sessao_tipo,sessao_obs,lista_tipo,lista_desc,lista_ministro,lista_min_id,lista_min_desc,lista_min_ordem,lista_min_qtd
04/02/2020,O,1T,Primeira Turma,49949,1,2020,2020-02-04,,14:00,O,A ordem de publicação da pauta não significa ordem de pregão de processos na sessão. Os processos não julgados nessa assentada serão alocados em outra sessão disponível.,4,Listas de Destaques feitos no PV,ROSA WEBER,81095,112-2019,6,1
04/02/2020,O,1T,Primeira Turma,49949,1,2020,2020-02-04,,14:00,O,A ordem de publicação da pauta não significa ordem de pregão de processos na sessão. Os processos não julgados nessa assentada serão alocados em outra sessão disponível.,5,Listas de Devoluções de Vistas,MARCO AURÉLIO,81029,141-2019,4,1
04/02/2020,O,1T,Primeira Turma,49949,1,2020,2020-02-04,,14:00,O,A ordem de publicação da pauta não significa ordem de pregão de processos na sessão. Os processos não julgados nessa assentada serão alocados em outra sessão disponível.,9,Avulsos,MARCO AURÉLIO,83331,AVULSO.5-2019,18,1
04/02/2020,O,1T,Primeira Turma,49949,1,2020,2020-02-04,,14:00,O,A ordem de publicação da pauta não significa ordem de pregão de processos na sessão. Os processos não julgados nessa assentada serão alocados em outra sessão disponível.,9,Avulsos,MARCO AURÉLIO,83332,AVULSO.6-2019,19,1
04/02/2020,O,1T,Primeira Turma,49949,1,2020,2020-02-04,,14:00,O,A ordem de publicação da pauta não significa ordem de pregão de processos na sessão. Os processos não julgados nessa assentada serão alocados em outra sessão disponível.,9,Avulsos,MARCO AURÉLIO,83333,AVULSO.7-2019,20,1
04/02/2020,O,1T,Primeira Turma,49949,1,2020,2020-02-04,,14:00,O,A ordem de publicação da pauta não significa ordem de pregão de processos na sessão. Os processos não julgados nessa assentada serão alocados em outra sessão disponível.,9,Avulsos,MARCO AURÉLIO,83334,AVULSO.8-2019,21,1
04/02/2020,O,1T,Primeira Turma,49949,1,2020,2020-02-04,,14:00,O,A ordem de publicação da pauta não significa ordem de pregão de processos na sessão. Os processos não julgados nessa assentada serão alocados em outra sessão disponível.,9,Avulsos,MARCO AURÉLIO,83576,AVULSO.10-2019,23,1
04/02/2020,O,1T,Primeira Turma,49949,1,2020,2020-02-04,,14:00,O,A ordem de publicação da pauta não significa ordem de pregão de processos na sessão. Os processos não julgados nessa assentada serão alocados em outra sessão disponível.,9,Avulsos,MARCO AURÉLIO,83577,AVULSO.11-2019,24,1
04/02/2020,O,1T,Primeira Turma,49949,1,2020,2020-02-04,,14:00,O,A ordem de publicação da pauta não significa ordem de pregão de processos na sessão. Os processos não julgados nessa assentada serão alocados em outra sessão disponível.,9,Avulsos,MARCO AURÉLIO,83578,AVULSO.12-2019,25,1
04/02/2020,O,1T,Primeira Turma,49949,1,2020,2020-02-04,,14:00,O,A ordem de publicação da pauta não significa ordem de pregão de processos na sessão. Os processos não julgados nessa assentada serão alocados em outra sessão disponível.,9,Avulsos,MARCO AURÉLIO,83579,AVULSO.13-2019,26,1
04/02/2020,O,1T,Primeira Turma,49949,1,2020,2020-02-04,,14:00,O,A ordem de publicação da pauta não significa ordem de pregão de processos na sessão. Os processos não julgados nessa assentada serão alocados em outra sessão disponível.,9,Avulsos,MARCO AURÉLIO,83580,AVULSO.14-2019,27,1
04/02/2020,O,1T,Primeira Turma,49949,1,2020,2020-02-04,,14:00,O,A ordem de publicação da pauta não significa ordem de pregão de processos na sessão. Os processos não julgados nessa assentada serão alocados em outra sessão disponível.,9,Avulsos,MARCO AURÉLIO,84019,AVULSO.15-2019,28,1
04/02/2020,O,1T,Primeira Turma,49949,1,2020,2020-02-04,,14:00,O,A ordem de publicação da pauta não significa ordem de pregão de processos na sessão. Os processos não julgados nessa assentada serão alocados em outra sessão disponível.,9,Avulsos,MARCO AURÉLIO,84029,AVULSO.16-2019,29,1
04/02/2020,O,1T,Primeira Turma,49949,1,2020,2020-02-04,,14:00,O,A ordem de publicação da pauta não significa ordem de pregão de processos na sessão. Os processos não julgados nessa assentada serão alocados em outra sessão disponível.,9,Avulsos,MARCO AURÉLIO,84354,AVULSO.17-2019,34,1
04/02/2020,O,1T,Primeira Turma,49949,1,2020,2020-02-04,,14:00,O,A ordem de publicação da pauta não significa ordem de pregão de processos na sessão. Os processos não julgados nessa assentada serão alocados em outra sessão disponível.,9,Avulsos,MARCO AURÉLIO,84355,AVULSO.18-2019,35,1
04/02/2020,O,1T,Primeira Turma,49949,1,2020,2020-02-04,,14:00,O,A ordem de publicação da pauta não significa ordem de pregão de processos na sessão. Os processos não julgados nessa assentada serão alocados em outra sessão disponível.,9,Avulsos,MARCO AURÉLIO,84356,AVULSO.19-2019,36,1
04/02/2020,O,1T,Primeira Turma,49949,1,2020,2020-02-04,,14:00,O,A ordem de publicação da pauta não significa ordem de pregão de processos na sessão. Os processos não julgados nessa assentada serão alocados em outra sessão disponível.,9,Avulsos,MARCO AURÉLIO,84357,AVULSO.20-2019,37,1
04/02/2020,O,1T,Primeira Turma,49949,1,2020,2020-02-04,,14:00,O,A ordem de publicação da pauta não significa ordem de pregão de processos na sessão. Os processos não julgados nessa assentada serão alocados em outra sessão disponível.,9,Avulsos,MARCO AURÉLIO,84774,AVULSO.21-2019,44,1
04/02/2020,O,1T,Primeira Turma,49949,1,2020,2020-02-04,,14:00,O,A ordem de publicação da pauta não significa ordem de pregão de processos na sessão. Os processos não julgados nessa assentada serão alocados em outra sessão disponível.,9,Avulsos,MARCO AURÉLIO,84793,AVULSO.22-2019,45,1
04/02/2020,O,1T,Primeira Turma,49949,1,2020,2020-02-04,,14:00,O,A ordem de publicação da pauta não significa ordem de pregão de processos na sessão. Os processos não julgados nessa assentada serão alocados em outra sessão disponível.,9,Avulsos,MARCO AURÉLIO,84794,AVULSO.23-2019,46,1
04/02/2020,O,1T,Primeira Turma,49949,1,2020,2020-02-04,,14:00,O,A ordem de publicação da pauta não significa ordem de pregão de processos na sessão. Os processos não julgados nessa assentada serão alocados em outra sessão disponível.,9,Avulsos,MARCO AURÉLIO,84795,AVULSO.24-2019,47,1
04/02/2020,O,1T,Primeira Turma,49949,1,2020,2020-02-04,,14:00,O,A ordem de publicação da pauta não significa ordem de pregão de processos na sessão. Os processos não julgados nessa assentada serão alocados em outra sessão disponível.,9,Avulsos,MARCO AURÉLIO,84796,AVULSO.25-2019,48,1
04/02/2020,O,1T,Primeira Turma,49949,1,2020,2020-02-04,,14:00,O,A ordem de publicação da pauta não significa ordem de pregão de processos na sessão. Os processos não julgados nessa assentada serão alocados em outra sessão disponível.,9,Avulsos,MARCO AURÉLIO,84797,AVULSO.26-2019,49,1
04/02/2020,O,1T,Primeira Turma,49949,1,2020,2020-02-04,,14:00,O,A ordem de publicação da pauta não significa ordem de pregão de processos na sessão. Os processos não julgados nessa assentada serão alocados em outra sessão disponível.,9,Avulsos,MARCO AURÉLIO,84916,AVULSO.28-2019,62,1
04/02/2020,O,1T,Primeira Turma,49949,1,2020,2020-02-04,,14:00,O,A ordem de publicação da pauta não significa ordem de pregão de processos na sessão. Os processos não julgados nessa assentada serão alocados em outra sessão disponível.,9,Avulsos,MARCO AURÉLIO,84917,AVULSO.29-2019,63,1
