dados,data,tipo,colegiados
"{""data"":""09/07/2022"",""tipo"":""PRESENCIAL"",""colegiados"":[]}",09/07/2022,PRESENCIAL,[]}
"{""data"":""10/07/2022"",""tipo"":""PRESENCIAL"",""colegiados"":[]}",10/07/2022,PRESENCIAL,[]}
"{""data"":""17/07/2022"",""tipo"":""PRESENCIAL"",""colegiados"":[]}",17/07/2022,PRESENCIAL,[]}
"{""data"":""18/07/2022"",""tipo"":""PRESENCIAL"",""colegiados"":[]}",18/07/2022,PRESENCIAL,[]}
"{""data"":""24/07/2022"",""tipo"":""PRESENCIAL"",""colegiados"":[]}",24/07/2022,PRESENCIAL,[]}
"{""data"":""25/07/2022"",""tipo"":""PRESENCIAL"",""colegiados"":[]}",25/07/2022,PRESENCIAL,[]}
"{""data"":""30/07/2022"",""tipo"":""PRESENCIAL"",""colegiados"":[]}",30/07/2022,PRESENCIAL,[]}
"{""data"":""31/07/2022"",""tipo"":""PRESENCIAL"",""colegiados"":[]}",31/07/2022,PRESENCIAL,[]}
"{""data"":""08/08/2022"",""tipo"":""PRESENCIAL"",""colegiados"":[]}",08/08/2022,PRESENCIAL,[]}
"{""data"":""12/08/2022"",""tipo"":""PRESENCIAL"",""colegiados"":[]}",12/08/2022,PRESENCIAL,[]}
"{""data"":""13/08/2022"",""tipo"":""PRESENCIAL"",""colegiados"":[]}",13/08/2022,PRESENCIAL,[]}
"{""data"":""14/08/2022"",""tipo"":""PRESENCIAL"",""colegiados"":[]}",14/08/2022,PRESENCIAL,[]}
"{""data"":""15/08/2022"",""tipo"":""PRESENCIAL"",""colegiados"":[]}",15/08/2022,PRESENCIAL,[]}
"{""data"":""21/08/2022"",""tipo"":""PRESENCIAL"",""colegiados"":[]}",21/08/2022,PRESENCIAL,[]}
"{""data"":""22/08/2022"",""tipo"":""PRESENCIAL"",""colegiados"":[]}",22/08/2022,PRESENCIAL,[]}
"{""data"":""27/08/2022"",""tipo"":""PRESENCIAL"",""colegiados"":[]}",27/08/2022,PRESENCIAL,[]}
"{""data"":""28/08/2022"",""tipo"":""PRESENCIAL"",""colegiados"":[]}",28/08/2022,PRESENCIAL,[]}
"{""data"":""29/08/2022"",""tipo"":""PRESENCIAL"",""colegiados"":[]}",29/08/2022,PRESENCIAL,[]}
"{""data"":""05/09/2022"",""tipo"":""PRESENCIAL"",""colegiados"":[]}",05/09/2022,PRESENCIAL,[]}
"{""data"":""06/09/2022"",""tipo"":""PRESENCIAL"",""colegiados"":[]}",06/09/2022,PRESENCIAL,[]}
"{""data"":""19/09/2022"",""tipo"":""PRESENCIAL"",""colegiados"":[]}",19/09/2022,PRESENCIAL,[]}
"{""data"":""20/09/2022"",""tipo"":""PRESENCIAL"",""colegiados"":[]}",20/09/2022,PRESENCIAL,[]}
"{""data"":""25/09/2022"",""tipo"":""PRESENCIAL"",""colegiados"":[]}",25/09/2022,PRESENCIAL,[]}
"{""data"":""26/09/2022"",""tipo"":""PRESENCIAL"",""colegiados"":[]}",26/09/2022,PRESENCIAL,[]}
"{""data"":""03/10/2022"",""tipo"":""PRESENCIAL"",""colegiados"":[]}",03/10/2022,PRESENCIAL,[]}
"{""data"":""08/10/2022"",""tipo"":""PRESENCIAL"",""colegiados"":[]}",08/10/2022,PRESENCIAL,[]}
"{""data"":""09/10/2022"",""tipo"":""PRESENCIAL"",""colegiados"":[]}",09/10/2022,PRESENCIAL,[]}
"{""data"":""10/10/2022"",""tipo"":""PRESENCIAL"",""colegiados"":[]}",10/10/2022,PRESENCIAL,[]}
"{""data"":""16/10/2022"",""tipo"":""PRESENCIAL"",""colegiados"":[]}",16/10/2022,PRESENCIAL,[]}
"{""data"":""17/10/2022"",""tipo"":""PRESENCIAL"",""colegiados"":[]}",17/10/2022,PRESENCIAL,[]}
"{""data"":""22/10/2022"",""tipo"":""PRESENCIAL"",""colegiados"":[]}",22/10/2022,PRESENCIAL,[]}
"{""data"":""23/10/2022"",""tipo"":""PRESENCIAL"",""colegiados"":[]}",23/10/2022,PRESENCIAL,[]}
"{""data"":""24/10/2022"",""tipo"":""PRESENCIAL"",""colegiados"":[]}",24/10/2022,PRESENCIAL,[]}
"{""data"":""30/10/2022"",""tipo"":""PRESENCIAL"",""colegiados"":[]}",30/10/2022,PRESENCIAL,[]}
"{""data"":""01/11/2022"",""tipo"":""PRESENCIAL"",""colegiados"":[]}",01/11/2022,PRESENCIAL,[]}
"{""data"":""06/11/2022"",""tipo"":""PRESENCIAL"",""colegiados"":[]}",06/11/2022,PRESENCIAL,[]}
"{""data"":""07/11/2022"",""tipo"":""PRESENCIAL"",""colegiados"":[]}",07/11/2022,PRESENCIAL,[]}
"{""data"":""14/11/2022"",""tipo"":""PRESENCIAL"",""colegiados"":[]}",14/11/2022,PRESENCIAL,[]}
"{""data"":""15/11/2022"",""tipo"":""PRESENCIAL"",""colegiados"":[]}",15/11/2022,PRESENCIAL,[]}
"{""data"":""19/11/2022"",""tipo"":""PRESENCIAL"",""colegiados"":[]}",19/11/2022,PRESENCIAL,[]}
"{""data"":""01/01/2021"",""tipo"":""PRESENCIAL"",""colegiados"":[]}",01/01/2021,PRESENCIAL,[]}
"{""data"":""02/01/2021"",""tipo"":""PRESENCIAL"",""colegiados"":[]}",02/01/2021,PRESENCIAL,[]}
"{""data"":""03/01/2021"",""tipo"":""PRESENCIAL"",""colegiados"":[]}",03/01/2021,PRESENCIAL,[]}
"{""data"":""04/01/2021"",""tipo"":""PRESENCIAL"",""colegiados"":[]}",04/01/2021,PRESENCIAL,[]}
"{""data"":""09/01/2021"",""tipo"":""PRESENCIAL"",""colegiados"":[]}",09/01/2021,PRESENCIAL,[]}
"{""data"":""10/01/2021"",""tipo"":""PRESENCIAL"",""colegiados"":[]}",10/01/2021,PRESENCIAL,[]}
"{""data"":""11/01/2021"",""tipo"":""PRESENCIAL"",""colegiados"":[]}",11/01/2021,PRESENCIAL,[]}
"{""data"":""17/01/2021"",""tipo"":""PRESENCIAL"",""colegiados"":[]}",17/01/2021,PRESENCIAL,[]}
"{""data"":""18/01/2021"",""tipo"":""PRESENCIAL"",""colegiados"":[]}",18/01/2021,PRESENCIAL,[]}
"{""data"":""23/01/2021"",""tipo"":""PRESENCIAL"",""colegiados"":[]}",23/01/2021,PRESENCIAL,[]}
"{""data"":""24/01/2021"",""tipo"":""PRESENCIAL"",""colegiados"":[]}",24/01/2021,PRESENCIAL,[]}
"{""data"":""25/01/2021"",""tipo"":""PRESENCIAL"",""colegiados"":[]}",25/01/2021,PRESENCIAL,[]}
"{""data"":""16/02/2021"",""tipo"":""PRESENCIAL"",""colegiados"":[]}",16/02/2021,PRESENCIAL,[]}
"{""data"":""30/02/2021"",""tipo"":""PRESENCIAL"",""colegiados"":[]}",30/02/2021,PRESENCIAL,[]}
"{""data"":""06/03/2021"",""tipo"":""PRESENCIAL"",""colegiados"":[]}",06/03/2021,PRESENCIAL,[]}
"{""data"":""07/03/2021"",""tipo"":""PRESENCIAL"",""colegiados"":[]}",07/03/2021,PRESENCIAL,[]}
"{""data"":""08/03/2021"",""tipo"":""PRESENCIAL"",""colegiados"":[]}",08/03/2021,PRESENCIAL,[]}
"{""data"":""13/03/2021"",""tipo"":""PRESENCIAL"",""colegiados"":[]}",13/03/2021,PRESENCIAL,[]}
"{""data"":""14/03/2021"",""tipo"":""PRESENCIAL"",""colegiados"":[]}",14/03/2021,PRESENCIAL,[]}
"{""data"":""15/03/2021"",""tipo"":""PRESENCIAL"",""colegiados"":[]}",15/03/2021,PRESENCIAL,[]}
"{""data"":""20/03/2021"",""tipo"":""PRESENCIAL"",""colegiados"":[]}",20/03/2021,PRESENCIAL,[]}
"{""data"":""22/03/2021"",""tipo"":""PRESENCIAL"",""colegiados"":[]}",22/03/2021,PRESENCIAL,[]}
"{""data"":""27/03/2021"",""tipo"":""PRESENCIAL"",""colegiados"":[]}",27/03/2021,PRESENCIAL,[]}
"{""data"":""28/03/2021"",""tipo"":""PRESENCIAL"",""colegiados"":[]}",28/03/2021,PRESENCIAL,[]}
"{""data"":""29/03/2021"",""tipo"":""PRESENCIAL"",""colegiados"":[]}",29/03/2021,PRESENCIAL,[]}
"{""data"":""04/04/2021"",""tipo"":""PRESENCIAL"",""colegiados"":[]}",04/04/2021,PRESENCIAL,[]}
"{""data"":""05/04/2021"",""tipo"":""PRESENCIAL"",""colegiados"":[]}",05/04/2021,PRESENCIAL,[]}
"{""data"":""11/04/2021"",""tipo"":""PRESENCIAL"",""colegiados"":[]}",11/04/2021,PRESENCIAL,[]}
"{""data"":""12/04/2021"",""tipo"":""PRESENCIAL"",""colegiados"":[]}",12/04/2021,PRESENCIAL,[]}
"{""data"":""18/04/2021"",""tipo"":""PRESENCIAL"",""colegiados"":[]}",18/04/2021,PRESENCIAL,[]}
"{""data"":""19/04/2021"",""tipo"":""PRESENCIAL"",""colegiados"":[]}",19/04/2021,PRESENCIAL,[]}
"{""data"":""25/04/2021"",""tipo"":""PRESENCIAL"",""colegiados"":[]}",25/04/2021,PRESENCIAL,[]}
"{""data"":""26/04/2021"",""tipo"":""PRESENCIAL"",""colegiados"":[]}",26/04/2021,PRESENCIAL,[]}
"{""data"":""01/05/2021"",""tipo"":""PRESENCIAL"",""colegiados"":[]}",01/05/2021,PRESENCIAL,[]}
"{""data"":""02/05/2021"",""tipo"":""PRESENCIAL"",""colegiados"":[]}",02/05/2021,PRESENCIAL,[]}
"{""data"":""08/05/2021"",""tipo"":""PRESENCIAL"",""colegiados"":[]}",08/05/2021,PRESENCIAL,[]}
"{""data"":""09/05/2021"",""tipo"":""PRESENCIAL"",""colegiados"":[]}",09/05/2021,PRESENCIAL,[]}
"{""data"":""10/05/2021"",""tipo"":""PRESENCIAL"",""colegiados"":[]}",10/05/2021,PRESENCIAL,[]}
"{""data"":""15/05/2021"",""tipo"":""PRESENCIAL"",""colegiados"":[]}",15/05/2021,PRESENCIAL,[]}
"{""data"":""16/05/2021"",""tipo"":""PRESENCIAL"",""colegiados"":[]}",16/05/2021,PRESENCIAL,[]}
"{""data"":""17/05/2021"",""tipo"":""PRESENCIAL"",""colegiados"":[]}",17/05/2021,PRESENCIAL,[]}
"{""data"":""22/05/2021"",""tipo"":""PRESENCIAL"",""colegiados"":[]}",22/05/2021,PRESENCIAL,[]}
"{""data"":""23/05/2021"",""tipo"":""PRESENCIAL"",""colegiados"":[]}",23/05/2021,PRESENCIAL,[]}
"{""data"":""24/05/2021"",""tipo"":""PRESENCIAL"",""colegiados"":[]}",24/05/2021,PRESENCIAL,[]}
"{""data"":""29/05/2021"",""tipo"":""PRESENCIAL"",""colegiados"":[]}",29/05/2021,PRESENCIAL,[]}
"{""data"":""30/05/2021"",""tipo"":""PRESENCIAL"",""colegiados"":[]}",30/05/2021,PRESENCIAL,[]}
"{""data"":""02/07/2021"",""tipo"":""PRESENCIAL"",""colegiados"":[]}",02/07/2021,PRESENCIAL,[]}
"{""data"":""03/07/2021"",""tipo"":""PRESENCIAL"",""colegiados"":[]}",03/07/2021,PRESENCIAL,[]}
"{""data"":""04/07/2021"",""tipo"":""PRESENCIAL"",""colegiados"":[]}",04/07/2021,PRESENCIAL,[]}
"{""data"":""05/07/2021"",""tipo"":""PRESENCIAL"",""colegiados"":[]}",05/07/2021,PRESENCIAL,[]}
"{""data"":""10/07/2021"",""tipo"":""PRESENCIAL"",""colegiados"":[]}",10/07/2021,PRESENCIAL,[]}
"{""data"":""12/07/2021"",""tipo"":""PRESENCIAL"",""colegiados"":[]}",12/07/2021,PRESENCIAL,[]}
"{""data"":""17/07/2021"",""tipo"":""PRESENCIAL"",""colegiados"":[]}",17/07/2021,PRESENCIAL,[]}
"{""data"":""18/07/2021"",""tipo"":""PRESENCIAL"",""colegiados"":[]}",18/07/2021,PRESENCIAL,[]}
"{""data"":""19/07/2021"",""tipo"":""PRESENCIAL"",""colegiados"":[]}",19/07/2021,PRESENCIAL,[]}
"{""data"":""25/07/2021"",""tipo"":""PRESENCIAL"",""colegiados"":[]}",25/07/2021,PRESENCIAL,[]}
"{""data"":""26/07/2021"",""tipo"":""PRESENCIAL"",""colegiados"":[]}",26/07/2021,PRESENCIAL,[]}
"{""data"":""31/07/2021"",""tipo"":""PRESENCIAL"",""colegiados"":[]}",31/07/2021,PRESENCIAL,[]}
"{""data"":""01/08/2021"",""tipo"":""PRESENCIAL"",""colegiados"":[]}",01/08/2021,PRESENCIAL,[]}
"{""data"":""08/08/2021"",""tipo"":""PRESENCIAL"",""colegiados"":[]}",08/08/2021,PRESENCIAL,[]}
